Age,Job,Marital,Education,Default,Housing,Loan,Contact,Day_Of_Week,Month,Output
48,Entrepreneur,Married,Basic 4Y,No,No,Yes,Telephone,Mon,Jun,No
38,Unemployed,Married,Basic 6Y,No,No,No,Telephone,Mon,Jun,Yes
33,Services,Single,Basic 6Y,No,Yes,No,Telephone,Mon,Jun,No
44,Self-Employed,Divorced,High School,No,Yes,No,Telephone,Mon,Jun,No
39,Admin ,Single,University Degree,No,Yes,Yes,Telephone,Mon,Jun,No
40,Technician,Married,Professional Course,Unknown,No,No,Telephone,Mon,Jun,No
43,Unemployed,Married,University Degree,Unknown,No,No,Telephone,Mon,Jun,No
60,Management,Married,University Degree,No,No,No,Telephone,Mon,Jun,Yes
56,Retired,Divorced,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
46,Entrepreneur,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
30,Services,Divorced,Basic 9Y,No,No,No,Telephone,Mon,Jun,Yes
38,Technician,Single,University Degree,No,No,No,Telephone,Mon,Jun,No
28,Services,Married,High School,No,No,No,Telephone,Mon,Jun,Yes
40,Admin ,Married,University Degree,Unknown,Yes,No,Telephone,Mon,Jun,No
34,Services,Single,Professional Course,Unknown,Yes,No,Telephone,Mon,Jun,No
40,Admin ,Married,University Degree,Unknown,Yes,No,Telephone,Mon,Jun,No
35,Services,Single,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
43,Retired,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
51,Management,Married,University Degree,No,Yes,Yes,Telephone,Mon,Jun,No
33,Blue-Collar,Married,High School,No,No,No,Telephone,Mon,Jun,No
35,Admin ,Divorced,University Degree,No,Yes,No,Telephone,Mon,Jun,No
25,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,Jun,No
50,Services,Divorced,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
34,Blue-Collar,Single,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
47,Technician,Single,University Degree,No,No,Yes,Telephone,Mon,Jun,No
35,Blue-Collar,Married,Basic 6Y,No,Yes,Yes,Telephone,Mon,Jun,No
35,Admin ,Single,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
39,Entrepreneur,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
42,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Mon,Jun,Yes
42,Blue-Collar,Married,Basic 6Y,No,No,No,Telephone,Mon,Jun,No
43,Blue-Collar,Divorced,Unknown,No,Yes,No,Telephone,Mon,Jun,No
48,Technician,Married,Professional Course,Unknown,No,No,Telephone,Mon,Jun,No
25,Blue-Collar,Married,Basic 9Y,No,Yes,Yes,Telephone,Mon,Jun,No
32,Blue-Collar,Married,Professional Course,No,Yes,No,Telephone,Mon,Jun,No
47,Self-Employed,Divorced,Professional Course,Unknown,Yes,No,Telephone,Mon,Jun,No
47,Technician,Single,Professional Course,Unknown,Yes,Yes,Telephone,Mon,Jun,No
30,Services,Married,High School,No,No,No,Telephone,Mon,Jun,No
31,Self-Employed,Married,University Degree,No,Yes,Yes,Telephone,Mon,Jun,No
35,Management,Single,University Degree,No,Yes,No,Telephone,Mon,Jun,No
38,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,Jun,No
39,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
45,Blue-Collar,Single,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
40,Blue-Collar,Single,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
30,Services,Married,High School,No,No,No,Telephone,Mon,Jun,No
48,Blue-Collar,Married,Unknown,Unknown,No,No,Telephone,Mon,Jun,No
38,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Mon,Jun,No
58,Unemployed,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
39,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
58,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Mon,Jun,No
39,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,Jun,No
35,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
40,Management,Married,University Degree,No,Unknown,Unknown,Telephone,Mon,Jun,No
49,Admin ,Divorced,High School,No,Yes,No,Telephone,Mon,Jun,No
34,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
49,Unemployed,Divorced,Professional Course,No,No,No,Telephone,Mon,Jun,No
32,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
44,Admin ,Single,High School,No,No,No,Telephone,Mon,Jun,No
35,Blue-Collar,Married,High School,No,No,No,Telephone,Mon,Jun,No
38,Technician,Single,Professional Course,Unknown,Yes,No,Telephone,Mon,Jun,No
35,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
33,Technician,Single,University Degree,No,Yes,No,Telephone,Mon,Jun,No
30,Services,Single,High School,No,No,No,Telephone,Mon,Jun,No
55,Entrepreneur,Divorced,University Degree,No,Yes,Yes,Telephone,Mon,Jun,No
47,Entrepreneur,Married,University Degree,No,No,Yes,Telephone,Mon,Jun,No
51,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
40,Entrepreneur,Married,Professional Course,Unknown,No,No,Telephone,Mon,Jun,No
44,Blue-Collar,Married,Professional Course,No,No,No,Telephone,Mon,Jun,No
41,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
32,Blue-Collar,Single,Basic 4Y,No,Yes,Yes,Telephone,Mon,Jun,No
40,Services,Single,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
41,Self-Employed,Married,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
38,Technician,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
29,Technician,Single,Unknown,No,No,No,Telephone,Mon,Jun,No
32,Admin ,Single,University Degree,No,Unknown,Unknown,Telephone,Mon,Jun,No
39,Services,Single,High School,Unknown,Yes,Yes,Telephone,Mon,Jun,Yes
41,Services,Divorced,High School,No,Yes,Yes,Telephone,Mon,Jun,No
39,Self-Employed,Married,Basic 4Y,Unknown,Yes,Yes,Telephone,Mon,Jun,No
25,Admin ,Single,High School,No,No,No,Telephone,Mon,Jun,No
33,Technician,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
24,Services,Single,High School,No,Yes,No,Telephone,Mon,Jun,No
36,Housemaid,Married,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
35,Blue-Collar,Divorced,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
40,Blue-Collar,Married,Basic 6Y,Unknown,Yes,Yes,Telephone,Mon,Jun,No
26,Admin ,Married,High School,Unknown,No,No,Telephone,Mon,Jun,No
40,Technician,Divorced,University Degree,No,Yes,No,Telephone,Mon,Jun,No
45,Management,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
39,Entrepreneur,Married,High School,No,Unknown,Unknown,Telephone,Mon,Jun,No
26,Admin ,Single,High School,No,No,Yes,Telephone,Mon,Jun,No
41,Technician,Single,University Degree,Unknown,No,No,Telephone,Mon,Jun,No
48,Housemaid,Married,Basic 6Y,Unknown,Yes,No,Telephone,Mon,Jun,No
32,Admin ,Married,High School,No,No,No,Telephone,Mon,Jun,No
47,Admin ,Married,Professional Course,No,No,No,Telephone,Mon,Jun,No
51,Blue-Collar,Married,Basic 4Y,No,Yes,Yes,Telephone,Mon,Jun,No
55,Blue-Collar,Married,Professional Course,Unknown,Yes,Yes,Telephone,Mon,Jun,No
37,Admin ,Divorced,University Degree,No,Yes,No,Telephone,Mon,Jun,No
52,Services,Married,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
47,Management,Divorced,University Degree,No,Yes,Yes,Telephone,Mon,Jun,No
33,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
53,Admin ,Divorced,University Degree,Unknown,No,No,Telephone,Mon,Jun,No
57,Housemaid,Married,Basic 4Y,No,Yes,No,Telephone,Mon,Jun,No
53,Services,Married,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
25,Admin ,Married,Unknown,No,No,No,Telephone,Mon,Jun,No
26,Admin ,Single,High School,No,No,No,Telephone,Mon,Jun,No
46,Management,Married,University Degree,Unknown,No,No,Telephone,Mon,Jun,No
58,Retired,Married,High School,Unknown,No,No,Telephone,Mon,Jun,No
56,Technician,Married,University Degree,No,No,Yes,Telephone,Mon,Jun,No
52,Technician,Married,High School,No,Unknown,Unknown,Telephone,Mon,Jun,No
43,Technician,Married,Professional Course,No,No,No,Telephone,Mon,Jun,No
36,Technician,Married,Professional Course,No,Yes,No,Telephone,Mon,Jun,No
45,Blue-Collar,Single,High School,Unknown,No,No,Telephone,Mon,Jun,No
36,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Mon,Jun,No
55,Admin ,Divorced,Unknown,Unknown,Yes,No,Telephone,Mon,Jun,No
29,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Mon,Jun,No
48,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Mon,Jun,No
42,Services,Divorced,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
47,Admin ,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
45,Technician,Single,Professional Course,No,No,No,Telephone,Mon,Jun,No
25,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
41,Services,Divorced,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
51,Technician,Married,Professional Course,No,No,Yes,Telephone,Mon,Jun,No
41,Technician,Single,University Degree,Unknown,Yes,No,Telephone,Mon,Jun,No
40,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
33,Services,Single,High School,No,No,No,Telephone,Mon,Jun,No
28,Admin ,Single,University Degree,No,No,No,Telephone,Mon,Jun,No
27,Admin ,Married,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
25,Admin ,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
45,Admin ,Married,Unknown,No,Yes,No,Telephone,Mon,Jun,Yes
55,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
49,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
39,Admin ,Single,Unknown,No,Yes,No,Telephone,Mon,Jun,No
53,Management,Divorced,University Degree,No,No,No,Telephone,Mon,Jun,No
53,Unknown,Married,High School,Unknown,No,No,Telephone,Mon,Jun,No
31,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
39,Admin ,Single,University Degree,Unknown,No,No,Telephone,Mon,Jun,No
55,Admin ,Married,High School,No,No,Yes,Telephone,Mon,Jun,No
38,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
32,Blue-Collar,Divorced,Basic 4Y,Unknown,No,No,Telephone,Mon,Jun,No
34,Blue-Collar,Married,High School,No,Yes,No,Telephone,Mon,Jun,No
54,Admin ,Married,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
54,Management,Married,University Degree,Unknown,No,Yes,Telephone,Mon,Jun,No
47,Management,Divorced,University Degree,No,No,Yes,Telephone,Mon,Jun,No
29,Services,Single,High School,No,Yes,Yes,Telephone,Mon,Jun,No
36,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,Jun,No
37,Services,Married,High School,No,No,No,Telephone,Mon,Jun,No
41,Admin ,Married,High School,Unknown,No,No,Telephone,Mon,Jun,No
26,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,Yes
25,Self-Employed,Single,University Degree,No,No,No,Telephone,Mon,Jun,No
60,Management,Married,University Degree,Unknown,No,No,Telephone,Mon,Jun,No
40,Entrepreneur,Married,University Degree,Unknown,Yes,No,Telephone,Mon,Jun,No
40,Technician,Single,Professional Course,No,Yes,No,Telephone,Mon,Jun,No
36,Management,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
38,Admin ,Married,High School,No,Yes,No,Telephone,Mon,Jun,No
28,Blue-Collar,Single,High School,No,Yes,No,Telephone,Mon,Jun,No
25,Technician,Divorced,University Degree,No,Yes,No,Telephone,Mon,Jun,No
45,Management,Divorced,University Degree,No,No,No,Telephone,Mon,Jun,No
44,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
51,Management,Married,Unknown,Unknown,Yes,Yes,Telephone,Mon,Jun,No
39,Admin ,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
33,Self-Employed,Single,University Degree,No,Yes,No,Telephone,Mon,Jun,No
49,Unknown,Married,Unknown,Unknown,Yes,No,Telephone,Mon,Jun,No
36,Blue-Collar,Single,Basic 4Y,No,Yes,No,Telephone,Mon,Jun,No
39,Self-Employed,Married,University Degree,No,Yes,Yes,Telephone,Mon,Jun,No
55,Blue-Collar,Married,Basic 4Y,Unknown,Yes,Yes,Telephone,Mon,Jun,No
48,Blue-Collar,Divorced,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
33,Admin ,Single,University Degree,No,Yes,Yes,Telephone,Mon,Jun,No
58,Blue-Collar,Married,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
36,Housemaid,Married,Basic 6Y,No,Yes,No,Telephone,Mon,Jun,No
28,Admin ,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
37,Admin ,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
45,Technician,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
43,Technician,Single,Professional Course,No,Yes,No,Telephone,Mon,Jun,No
30,Blue-Collar,Married,Professional Course,No,No,No,Telephone,Mon,Jun,No
34,Services,Divorced,Professional Course,Unknown,No,No,Telephone,Mon,Jun,No
39,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
35,Admin ,Single,University Degree,No,Yes,No,Telephone,Mon,Jun,No
33,Admin ,Married,High School,No,Yes,No,Telephone,Mon,Jun,No
33,Services,Single,University Degree,Unknown,No,No,Telephone,Mon,Jun,Yes
37,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
39,Services,Divorced,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
49,Technician,Married,Professional Course,No,No,No,Telephone,Mon,Jun,No
39,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
37,Entrepreneur,Married,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
45,Admin ,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
40,Services,Divorced,High School,No,No,No,Telephone,Mon,Jun,No
52,Admin ,Divorced,University Degree,No,No,No,Telephone,Mon,Jun,No
41,Admin ,Married,High School,No,No,No,Telephone,Mon,Jun,No
43,Admin ,Married,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
30,Blue-Collar,Single,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
34,Unemployed,Single,University Degree,No,No,No,Telephone,Mon,Jun,No
41,Services,Married,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
45,Admin ,Married,High School,No,Yes,No,Telephone,Mon,Jun,No
36,Services,Single,Basic 6Y,Unknown,No,No,Telephone,Mon,Jun,No
33,Blue-Collar,Single,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
55,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,Jun,No
42,Retired,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,Jun,No
42,Services,Married,High School,No,No,No,Telephone,Mon,Jun,No
44,Blue-Collar,Married,Basic 6Y,Unknown,Yes,No,Telephone,Mon,Jun,No
36,Services,Married,High School,Unknown,No,No,Telephone,Mon,Jun,No
41,Blue-Collar,Married,Unknown,No,No,No,Telephone,Mon,Jun,No
35,Unknown,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
58,Admin ,Divorced,University Degree,No,Yes,No,Telephone,Mon,Jun,No
58,Retired,Married,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
52,Entrepreneur,Married,University Degree,Unknown,Yes,No,Telephone,Mon,Jun,No
32,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,Jun,No
33,Technician,Married,High School,No,No,Yes,Telephone,Mon,Jun,No
56,Management,Divorced,University Degree,No,No,No,Telephone,Mon,Jun,No
37,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,Jun,No
55,Technician,Married,Professional Course,No,Yes,No,Telephone,Mon,Jun,Yes
35,Technician,Married,Professional Course,No,No,No,Telephone,Mon,Jun,No
24,Admin ,Married,High School,No,No,Yes,Telephone,Mon,Jun,No
54,Retired,Divorced,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
42,Admin ,Married,High School,No,No,Yes,Telephone,Mon,Jun,No
47,Services,Married,High School,No,No,No,Telephone,Mon,Jun,No
27,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
33,Admin ,Single,University Degree,No,No,No,Telephone,Mon,Jun,No
34,Technician,Married,Professional Course,No,Yes,No,Telephone,Mon,Jun,No
51,Services,Married,High School,No,No,Yes,Telephone,Mon,Jun,No
30,Management,Single,University Degree,No,No,No,Telephone,Mon,Jun,No
58,Admin ,Married,University Degree,No,No,Yes,Telephone,Mon,Jun,No
31,Management,Married,High School,No,Yes,No,Telephone,Mon,Jun,No
33,Admin ,Married,High School,No,Yes,No,Telephone,Mon,Jun,No
47,Housemaid,Married,Basic 4Y,No,Yes,Yes,Telephone,Mon,Jun,No
35,Blue-Collar,Single,Unknown,No,No,No,Telephone,Mon,Jun,No
55,Retired,Divorced,Basic 6Y,Unknown,No,No,Telephone,Mon,Jun,No
45,Admin ,Divorced,University Degree,Unknown,No,No,Telephone,Mon,Jun,No
32,Services,Married,High School,No,Yes,No,Telephone,Mon,Jun,No
30,Technician,Married,University Degree,No,No,Yes,Telephone,Mon,Jun,No
39,Admin ,Married,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
53,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
47,Entrepreneur,Single,University Degree,Unknown,Yes,No,Telephone,Mon,Jun,No
52,Blue-Collar,Married,Basic 4Y,No,Yes,No,Telephone,Mon,Jun,No
38,Blue-Collar,Married,Basic 6Y,No,No,No,Telephone,Mon,Jun,No
37,Admin ,Divorced,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
36,Housemaid,Married,High School,No,Yes,No,Telephone,Mon,Jun,No
47,Housemaid,Married,Professional Course,No,Yes,Yes,Telephone,Mon,Jun,No
28,Blue-Collar,Married,Basic 9Y,No,Yes,Yes,Telephone,Mon,Jun,No
44,Blue-Collar,Divorced,Unknown,No,No,Yes,Telephone,Mon,Jun,No
34,Admin ,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
33,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Mon,Jun,No
30,Technician,Married,Professional Course,No,Yes,Yes,Telephone,Mon,Jun,No
41,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
57,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
60,Retired,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,Jun,No
34,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Mon,Jun,No
39,Management,Married,Basic 6Y,Unknown,No,No,Telephone,Mon,Jun,No
36,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,Jun,No
48,Technician,Divorced,Professional Course,No,No,No,Telephone,Mon,Jun,No
44,Technician,Married,High School,No,No,No,Telephone,Mon,Jun,No
34,Technician,Married,Professional Course,No,Yes,Yes,Telephone,Mon,Jun,No
42,Technician,Married,University Degree,No,Yes,No,Telephone,Mon,Jun,No
28,Admin ,Married,High School,No,Yes,No,Telephone,Mon,Jun,No
30,Technician,Married,Professional Course,No,Yes,No,Telephone,Mon,Jun,No
40,Admin ,Single,High School,No,Yes,No,Telephone,Mon,Jun,No
38,Technician,Single,University Degree,No,No,No,Telephone,Mon,Jun,No
52,Technician,Divorced,Professional Course,Unknown,Yes,No,Telephone,Mon,Jun,No
52,Blue-Collar,Married,High School,Unknown,No,No,Telephone,Mon,Jun,Yes
36,Admin ,Single,High School,No,Yes,No,Telephone,Mon,Jun,No
27,Blue-Collar,Married,Basic 6Y,Unknown,Yes,No,Telephone,Mon,Jun,No
53,Services,Divorced,Basic 4Y,Unknown,No,No,Telephone,Mon,Jun,No
38,Admin ,Single,University Degree,Unknown,No,No,Telephone,Mon,Jun,No
39,Technician,Married,Professional Course,No,No,No,Telephone,Mon,Jun,No
47,Blue-Collar,Married,Unknown,Unknown,Yes,No,Telephone,Mon,Jun,No
35,Admin ,Married,High School,No,Yes,Yes,Telephone,Mon,Jun,No
54,Blue-Collar,Married,High School,No,No,No,Telephone,Mon,Jun,No
33,Technician,Single,Professional Course,No,No,No,Telephone,Mon,Jun,No
39,Admin ,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
41,Blue-Collar,Single,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
29,Technician,Married,Basic 9Y,No,Yes,Yes,Telephone,Mon,Jun,No
50,Retired,Married,Basic 4Y,No,Yes,No,Telephone,Mon,Jun,No
32,Entrepreneur,Single,Professional Course,No,No,No,Telephone,Mon,Jun,No
31,Blue-Collar,Married,Basic 6Y,No,No,Yes,Telephone,Mon,Jun,No
29,Entrepreneur,Married,Professional Course,No,Yes,No,Telephone,Mon,Jun,No
44,Unemployed,Married,Professional Course,No,No,No,Telephone,Mon,Jun,No
41,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,Jun,No
30,Housemaid,Married,High School,Unknown,Yes,Yes,Telephone,Mon,Jun,No
33,Services,Married,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
56,Services,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,Jun,No
26,Blue-Collar,Married,Basic 6Y,Unknown,Unknown,Unknown,Telephone,Mon,Jun,No
49,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Mon,Jun,No
40,Admin ,Single,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
51,Services,Married,High School,Unknown,Yes,No,Telephone,Mon,Jun,No
48,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Mon,Jun,No
47,Technician,Divorced,High School,No,Yes,No,Telephone,Mon,Jun,No
34,Blue-Collar,Married,Basic 9Y,No,No,No,Telephone,Mon,Jun,No
36,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,Jun,No
43,Services,Married,High School,Unknown,No,No,Telephone,Mon,Jun,No
56,Entrepreneur,Married,Unknown,Unknown,No,No,Telephone,Mon,Jun,No
39,Housemaid,Divorced,Basic 9Y,No,Yes,No,Telephone,Mon,Jun,No
43,Technician,Single,University Degree,No,Yes,No,Telephone,Mon,Jun,No
39,Admin ,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
59,Management,Married,Basic 6Y,Unknown,Yes,No,Telephone,Mon,Jun,No
50,Admin ,Married,High School,No,No,No,Telephone,Mon,Jun,No
24,Services,Single,High School,No,Yes,No,Telephone,Mon,Jun,No
38,Blue-Collar,Married,High School,No,No,No,Telephone,Mon,Jun,No
41,Technician,Married,Professional Course,Unknown,Yes,No,Telephone,Mon,Jun,No
34,Blue-Collar,Married,Basic 6Y,No,No,Yes,Telephone,Mon,Jun,No
48,Unemployed,Single,Basic 4Y,No,Yes,No,Telephone,Mon,Jun,No
35,Admin ,Married,University Degree,Unknown,Yes,No,Telephone,Mon,Jun,No
54,Entrepreneur,Divorced,University Degree,No,Yes,Yes,Telephone,Mon,Jun,No
31,Services,Married,Basic 6Y,No,No,No,Telephone,Mon,Jun,No
42,Services,Married,High School,No,No,No,Telephone,Mon,Jun,No
45,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Mon,Jun,No
24,Services,Single,Basic 9Y,Unknown,No,Yes,Telephone,Mon,Jun,No
37,Management,Married,University Degree,Unknown,No,Yes,Telephone,Mon,Jun,No
57,Housemaid,Married,Professional Course,No,No,Yes,Telephone,Mon,Jun,No
35,Student,Single,University Degree,Unknown,Yes,Yes,Telephone,Mon,Jun,Yes
41,Admin ,Married,High School,No,Unknown,Unknown,Telephone,Mon,Jun,No
33,Unemployed,Single,University Degree,No,No,Yes,Telephone,Mon,Jun,No
42,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,Jun,No
35,Technician,Single,Professional Course,No,Yes,Yes,Telephone,Mon,Jun,No
44,Technician,Married,Professional Course,Unknown,No,No,Telephone,Mon,Jun,No
36,Blue-Collar,Married,Basic 9Y,Unknown,No,Yes,Telephone,Mon,Jun,No
28,Services,Single,High School,No,No,No,Telephone,Mon,Jun,No
57,Blue-Collar,Divorced,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
41,Management,Divorced,University Degree,No,No,No,Telephone,Mon,Jun,No
41,Blue-Collar,Divorced,Professional Course,No,No,No,Telephone,Mon,Jun,No
36,Technician,Divorced,Professional Course,Unknown,No,No,Telephone,Mon,Jun,No
38,Student,Single,University Degree,No,No,No,Telephone,Mon,Jun,No
48,Blue-Collar,Married,Basic 4Y,No,No,No,Telephone,Mon,Jun,No
48,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,Jun,No
39,Technician,Married,Professional Course,No,Yes,No,Telephone,Mon,Jun,No
33,Admin ,Married,University Degree,No,Yes,No,Telephone,Mon,Jun,No
52,Services,Married,High School,No,No,Yes,Telephone,Mon,Jun,No
59,Retired,Divorced,University Degree,No,No,No,Telephone,Mon,Jun,Yes
42,Self-Employed,Married,University Degree,No,No,No,Telephone,Mon,Jun,No
57,Management,Married,Basic 9Y,Unknown,Yes,No,Telephone,Mon,Jun,No
33,Services,Married,High School,No,No,No,Telephone,Mon,Jun,No
39,Entrepreneur,Married,High School,No,No,No,Telephone,Mon,Jun,No
39,Technician,Single,Professional Course,Unknown,No,No,Telephone,Mon,Jun,Yes
28,Services,Married,High School,No,No,No,Telephone,Tue,Jun,No
60,Unknown,Married,Basic 6Y,Unknown,No,No,Telephone,Tue,Jun,No
44,Blue-Collar,Married,Basic 9Y,Unknown,No,No,Telephone,Tue,Jun,No
36,Services,Single,Basic 9Y,No,No,No,Telephone,Tue,Jun,No
26,Admin ,Married,High School,No,No,No,Telephone,Tue,Jun,No
40,Admin ,Married,High School,No,No,No,Telephone,Tue,Jun,No
48,Blue-Collar,Married,Basic 4Y,Unknown,No,No,Telephone,Tue,Jun,No
40,Blue-Collar,Married,Basic 9Y,Unknown,Yes,No,Telephone,Tue,Jun,No
43,Blue-Collar,Single,Professional Course,No,Yes,No,Telephone,Tue,Jun,No
49,Services,Married,High School,Unknown,Yes,No,Telephone,Tue,Jun,No
32,Technician,Married,Professional Course,No,Yes,No,Telephone,Tue,Jun,No
56,Management,Married,Basic 4Y,Unknown,Yes,No,Telephone,Tue,Jun,No
48,Housemaid,Married,High School,No,No,No,Telephone,Tue,Jun,No
44,Entrepreneur,Married,Basic 6Y,Unknown,No,Yes,Telephone,Tue,Jun,No
57,Blue-Collar,Married,Basic 9Y,No,Yes,No,Telephone,Tue,Jun,No
30,Technician,Single,University Degree,No,No,No,Telephone,Tue,Jun,No
34,Blue-Collar,Married,Basic 6Y,Unknown,No,No,Telephone,Tue,Jun,No
34,Technician,Married,University Degree,No,No,No,Telephone,Tue,Jun,No
46,Unemployed,Married,Basic 6Y,Unknown,Yes,No,Telephone,Tue,Jun,No
32,Services,Married,High School,No,Yes,No,Telephone,Tue,Jun,No
